lit_barrier_id,count_pre,count_post,absolute_change,percentage_change,count_pre_normalized,count_post_normalized,absolute_change_normalized,percentage_change_normalized,color
0,609,527,-82,-13.46,0.06825823806321453,0.060707291786660525,-0.007550946276554005,-11.06,#3ba458
1,1820,1708,-112,-6.15,0.20399013674064112,0.19675152632185233,-0.007238610418788788,-3.55,#92d28f
2,189,152,-37,-19.58,0.021183591123066576,0.01750950351342011,-0.0036740876096464647,-17.34,#1e8741
3,187,199,12,6.42,0.0209594261376373,0.02292362631033291,0.0019642001726956106,9.37,#f14432
4,12,20,8,66.67,0.0013449899125756557,0.0023038820412394885,0.0009588921286638329,71.29,#bc141a
5,212,221,9,4.25,0.02376148845550325,0.025457896555696347,0.0016964081001930968,7.14,#fb694a
6,568,509,-59,-10.39,0.06366285586191436,0.058633797949544986,-0.005029057912369378,-7.9,#66bd6f
7,47,36,-11,-23.4,0.005267877157587985,0.004146987674231079,-0.0011208894833569056,-21.28,#00692a
8,380,321,-59,-15.53,0.04259134723156243,0.03697730676189379,-0.005614040469668638,-13.18,#2d954d
9,168,116,-52,-30.95,0.01882985877605918,0.013362515839189033,-0.0054673429368701475,-29.04,#005622
10,520,462,-58,-11.15,0.05828289621161175,0.053219675152632186,-0.005063221058979564,-8.69,#4eb264
11,347,329,-18,-5.19,0.03889262497197938,0.037898859578389586,-0.0009937653935897933,-2.56,#a7dba0
12,491,479,-12,-2.44,0.05503250392288724,0.05517797488768575,0.00014547096479850669,0.26,#fcab8f
13,139,143,4,2.88,0.015579466487334678,0.01647275659486234,0.0008932901075276636,5.73,#fc8a6a
14,197,121,-76,-38.58,0.02208025106478368,0.013938486349498905,-0.008141764715284775,-36.87,#00441b
15,10,18,8,80.0,0.0011208249271463797,0.0020734938371155397,0.00095266890996916,85.0,#980c13
16,9,20,11,122.22,0.0010087424344317419,0.0023038820412394885,0.0012951396068077467,128.39,#67000d
17,162,129,-33,-20.37,0.01815736381977135,0.0148600391659947,-0.00329732465377665,-18.16,#0d7836
18,186,170,-16,-8.6,0.020847343644922665,0.019582997350535654,-0.0012643462943870108,-6.06,#7dc87e
19,200,190,-10,-5.0,0.022416498542927595,0.02188687939177514,-0.0005296191511524537,-2.36,#b8e3b2
20,2469,2811,342,13.85,0.2767316745124412,0.3238106208962101,0.047078946383768916,17.01,#d92523
